Content_Song,Sequential Airtime,Song Title,Artist Name,Album Name,Label Name,Release Year,Language
"Ae Zindagi Gale Laga Le,by Ilaiyaraaja, Amit Trivedi & Arijit Singh,
Dear Zindagi,Sony Music Entertainment India Pvt.Ltd,2016",05:04:33-05:07:01,Ae Zindagi Gale Laga Le,"by Ilaiyaraaja, Amit Trivedi & Arijit Singh",Dear Zindagi,Sony Music Entertainment India Pvt.Ltd,2016,Hindi
"Maamarangale, Karthik, Sayanora & Gireesh Puthencherry,
Ee Pattanathil Bhootham,Manorama Music,2009",05:07:04-05:09:34,Maamarangale,"Karthik, Sayanora & Gireesh Puthencherry",Ee Pattanathil Bhootham,Manorama Music,2009,Malayalam
"Omal Thamara ,Yadhu S Marar, Shaan Rahman & Hari Narayanan B K,
Njan Prakashan,Manorama Music,2018",05:09:38-05:12:26,Omal Thamara,"Yadhu S Marar, Shaan Rahman & Hari Narayanan B K",Njan Prakashan,Manorama Music,2018,Malayalam
"Pathinezhinte Poonkaralil,Mohan Sithara, Shreya Ghoshal & Kabeer,
Vellaripravinte Changathi,Satyam Audios,2011",05:12:29-05:15:43,Pathinezhinte Poonkaralil,"Mohan Sithara, Shreya Ghoshal & Kabeer",Vellaripravinte Changathi,Satyam Audios,2011,Malayalam
"Idukki,Bijibal,Maheshinte Prathikaaram,
Muzik247,2016",05:15:46-05:18:40,Idukki,Bijibal,Maheshinte Prathikaaram,Muzik247,2016,Malayalam
"Maacho, A.R. Rahman, Sid Sriram & Shweta Mohan,
Mersal,Sony Music Entertainment India Pvt.Ltd,2017",05:18:43-05:21:15,Maacho,"A.R. Rahman, Sid Sriram & Shweta Mohan",Mersal,Sony Music Entertainment India Pvt.Ltd,2017,Malayalam
"Aalilathaaliyumaai,Raveendran & P. Jayachandran,
Mizhirandilum,Sony Music Entertainment India Pvt.Ltd,2003",05:21:18-05:24:31,Aalilathaaliyumaai,Raveendran & P. Jayachandran,Mizhirandilum,Sony Music Entertainment India Pvt.Ltd,2003,Malayalam
"Payye Veesum,Sachin Warrier, Ashwin Gopakumar & Sneha Warrier,
Aanandam,Satyam Audios,2008",05:24:34-05:26:49,Payye Veesum,"Sachin Warrier, Ashwin Gopakumar & Sneha Warrier",Aanandam,Satyam Audios,2008,Malayalam
"Hututu,A.R.Rahman&Shashaa Tirpati,
Mimi,Sony Music Entertainment India Pvt.Ltd,2021",05:26:52-05:29:45,Hututu,A.R.Rahman&Shashaa Tirpati,Mimi,Sony Music Entertainment India Pvt.Ltd,2021,Malayalam
"Mazha Paadum,Deepak Dev, Aravind Venugopal & Aparna Balamurali,
Sunday Holiday,Satyam Audios,2017",05:29:47-05:32:55,Mazha Paadum,"Deepak Dev, Aravind Venugopal & Aparna Balamurali",Sunday Holiday,Satyam Audios,2017,Malayalam
"Oonjal Aadinaal,K.S. Chithra, Kalyani Menon, M. Jayachandran, Madhu Balakrishnan & Kaithapram,Perumazhakkaalam,Divo Tv Private Limited,2004",05:32:58-05:35:49,Oonjal Aadinaal,"K.S. Chithra, Kalyani Menon, M. Jayachandran, Madhu Balakrishnan & Kaithapram",Perumazhakkaalam,Divo TV Pvt Ltd,2004,Malayalam
